Weight (g),Color,Diameter (cm),Fruit Type
1802,Yellow,17.1,Pineapple
23,Pink,2.05,Lychee
4130,Green,27.04,Watermelon
156,Red,8.73,Apple
2927,Green,22.11,Watermelon
192,Orange,6.67,Orange
1476,Brown,14.97,Pineapple
323,Green,11.12,Mango
283,Yellow,11.29,Mango
6,Purple,1.56,Grape
22,Pink,2.38,Lychee
207,Orange,8.95,Orange
1586,Brown,19.26,Coconut
89,Yellow,4.15,Banana
99,Yellow,4.97,Banana
11,Green,1.71,Grape
151,Red,6.13,Apple
13,Green,1.79,Grape
125,Green,6.74,Apple
192,Green,6.13,Apple
24,Red,2.93,Lychee
163,Orange,6.57,Orange
2701,Green,26.38,Watermelon
179,Green,7.66,Apple
1408,Yellow,16.75,Papaya
210,Yellow,10.36,Mango
1614,Yellow,12.29,Pineapple
1155,Brown,13.46,Pineapple
20,Pink,2.26,Lychee
2124,Green,16.11,Coconut
113,Yellow,4.39,Banana
399,Yellow,9.94,Mango
11,Purple,1.19,Grape
82,Yellow,3.68,Banana
649,Green,13.78,Papaya
251,Orange,9.38,Orange
6,Green,1.75,Grape
1487,Green,10.29,Papaya
133,Yellow,4.8,Banana
164,Green,6.61,Apple
18,Pink,2.98,Lychee
275,Orange,8.7,Orange
2586,Green,23.51,Watermelon
135,Yellow,4.18,Banana
286,Red,8.96,Mango
272,Orange,7.9,Orange
166,Orange,6.5,Orange
1379,Orange,14.49,Papaya
1615,Yellow,12.93,Pineapple
212,Orange,7.79,Orange
1454,Yellow,15.29,Pineapple
165,Orange,9.78,Orange
133,Yellow,3.04,Banana
145,Green,6.17,Apple
4224,Green,23.49,Watermelon
678,Yellow,13.07,Papaya
1142,Green,23.42,Coconut
1390,Yellow,11.21,Papaya
2435,Green,20.81,Watermelon
1637,Brown,15.98,Pineapple
1493,Green,23.3,Coconut
2791,Green,29.87,Watermelon
4256,Green,28.94,Watermelon
17,Red,2.16,Lychee
192,Red,8.82,Apple
215,Yellow,8.44,Mango
1109,Orange,10.38,Papaya
165,Orange,7.16,Orange
1957,Brown,23.77,Coconut
22,Red,2.78,Lychee
144,Yellow,4.09,Banana
182,Green,6.59,Apple
273,Orange,7.89,Orange
140,Red,8.85,Apple
124,Yellow,4.02,Banana
102,Yellow,3.89,Banana
16,Red,2.74,Lychee
747,Yellow,13.73,Papaya
16,Red,2.95,Lychee
780,Green,15.87,Papaya
1736,Green,19.14,Coconut
1272,Orange,16.3,Papaya
1133,Brown,17.6,Coconut
159,Green,6.34,Apple
333,Red,11.84,Mango
24,Red,2.72,Lychee
1285,Yellow,19.5,Pineapple
24,Pink,2.19,Lychee
1752,Green,18.13,Coconut
400,Yellow,11.26,Mango
128,Yellow,4.63,Banana
1187,Brown,12.36,Pineapple
221,Green,9.74,Mango
179,Green,6.19,Apple
269,Green,10.11,Mango
224,Orange,7.2,Orange
1188,Yellow,12.84,Papaya
2086,Green,17.72,Coconut
129,Yellow,4.1,Banana
183,Green,8.46,Apple
1994,Brown,16.55,Coconut
2234,Green,16.29,Coconut
1906,Brown,16.24,Pineapple
303,Yellow,9.74,Mango
3458,Green,26.1,Watermelon
1353,Brown,24.33,Coconut
1607,Brown,16.94,Coconut
381,Green,8.25,Mango
19,Red,2.99,Lychee
83,Yellow,3.03,Banana
1064,Orange,12.87,Papaya
5,Purple,1.99,Grape
24,Red,2.08,Lychee
148,Yellow,3.64,Banana
323,Red,10.11,Mango
24,Red,2.62,Lychee
1942,Brown,13.17,Pineapple
1645,Brown,18.26,Pineapple
114,Yellow,3.01,Banana
191,Red,6.84,Apple
17,Red,2.27,Lychee
119,Yellow,4.52,Banana
138,Green,6.38,Apple
129,Yellow,4.07,Banana
175,Red,6.63,Apple
1211,Brown,18.32,Pineapple
171,Red,6.65,Apple
141,Yellow,3.14,Banana
131,Yellow,4.25,Banana
1241,Green,17.86,Papaya
187,Red,8.43,Apple
299,Orange,8.31,Orange
184,Green,7.6,Apple
267,Orange,6.54,Orange
281,Orange,7.58,Orange
1795,Brown,21.32,Coconut
23,Pink,2.97,Lychee
1108,Orange,18.0,Papaya
11,Green,1.39,Grape
117,Yellow,3.33,Banana
2303,Brown,15.69,Coconut
23,Red,2.17,Lychee
12,Green,1.4,Grape
3373,Green,21.16,Watermelon
1217,Orange,19.96,Papaya
13,Purple,1.91,Grape
382,Green,10.34,Mango
8,Purple,1.62,Grape
318,Green,10.07,Mango
1121,Yellow,15.33,Papaya
10,Purple,1.14,Grape
9,Purple,1.33,Grape
177,Red,6.3,Apple
16,Red,2.87,Lychee
327,Red,8.86,Mango
85,Yellow,4.66,Banana
111,Yellow,3.36,Banana
387,Red,10.88,Mango
4755,Green,29.69,Watermelon
1265,Green,22.64,Coconut
1667,Brown,15.46,Pineapple
9,Green,1.14,Grape
141,Yellow,3.87,Banana
611,Orange,11.78,Papaya
3364,Green,29.72,Watermelon
1396,Orange,12.95,Papaya
14,Green,1.31,Grape
208,Orange,9.72,Orange
218,Orange,7.09,Orange
5,Purple,1.88,Grape
1243,Brown,12.88,Pineapple
10,Purple,1.91,Grape
98,Yellow,4.84,Banana
1554,Brown,19.88,Pineapple
1621,Brown,20.28,Coconut
889,Orange,15.72,Papaya
166,Red,7.67,Apple
133,Green,8.66,Apple
689,Yellow,19.53,Papaya
91,Yellow,3.75,Banana
22,Red,2.47,Lychee
177,Orange,9.18,Orange
216,Orange,6.93,Orange
250,Orange,8.7,Orange
16,Red,2.97,Lychee
135,Red,6.97,Apple
21,Red,2.82,Lychee
1016,Yellow,16.8,Pineapple
1355,Green,20.97,Coconut
131,Green,6.58,Apple
890,Orange,14.73,Papaya
186,Red,6.29,Apple
213,Orange,8.5,Orange
4077,Green,22.42,Watermelon
711,Orange,13.28,Papaya
85,Yellow,3.24,Banana
20,Red,2.61,Lychee
22,Pink,2.66,Lychee
109,Yellow,3.02,Banana
88,Yellow,4.55,Banana
1352,Yellow,18.69,Pineapple
15,Red,2.89,Lychee
125,Green,6.25,Apple
814,Green,19.04,Papaya
16,Pink,2.44,Lychee
147,Yellow,3.85,Banana
5,Green,1.88,Grape
1762,Brown,13.45,Pineapple
144,Green,7.38,Apple
7,Purple,1.85,Grape
129,Green,8.94,Apple
230,Green,8.21,Mango
170,Green,8.68,Apple
1852,Brown,18.47,Pineapple
250,Orange,6.89,Orange
13,Purple,1.45,Grape
22,Pink,2.47,Lychee
127,Green,6.49,Apple
5,Purple,1.84,Grape
8,Purple,1.91,Grape
23,Red,2.14,Lychee
1224,Orange,16.1,Papaya
126,Yellow,4.73,Banana
97,Yellow,4.2,Banana
1492,Brown,21.61,Coconut
14,Green,1.15,Grape
11,Green,1.01,Grape
85,Yellow,4.75,Banana
4133,Green,28.92,Watermelon
14,Green,1.21,Grape
103,Yellow,4.46,Banana
154,Red,8.17,Apple
146,Green,8.9,Apple
1409,Brown,17.52,Pineapple
25,Red,2.39,Lychee
1841,Green,20.66,Coconut
187,Green,6.14,Apple
2945,Green,25.28,Watermelon
1708,Yellow,19.14,Pineapple
245,Orange,9.09,Orange
256,Orange,9.66,Orange
3688,Green,21.36,Watermelon
201,Red,10.96,Mango
778,Yellow,14.66,Papaya
1893,Yellow,14.58,Pineapple
262,Yellow,11.36,Mango
184,Red,6.39,Apple
2479,Brown,23.18,Coconut
685,Orange,15.42,Papaya
105,Yellow,4.2,Banana
328,Yellow,11.46,Mango
9,Purple,1.71,Grape
393,Yellow,9.27,Mango
13,Purple,1.05,Grape
160,Green,7.46,Apple
705,Yellow,16.86,Papaya
148,Yellow,4.68,Banana
175,Green,6.19,Apple
16,Pink,2.55,Lychee
80,Yellow,3.02,Banana
223,Orange,6.11,Orange
1096,Green,18.85,Coconut
1021,Brown,12.83,Pineapple
1459,Yellow,17.11,Papaya
1918,Brown,12.49,Pineapple
558,Green,12.4,Papaya
179,Orange,7.78,Orange
1595,Brown,16.07,Pineapple
166,Red,7.39,Apple
289,Red,9.29,Mango
1895,Yellow,19.75,Pineapple
1476,Brown,24.04,Coconut
1147,Brown,19.01,Pineapple
231,Orange,6.09,Orange
279,Orange,9.02,Orange
396,Red,9.58,Mango
143,Yellow,3.44,Banana
15,Purple,1.34,Grape
1741,Brown,12.76,Pineapple
1994,Brown,16.02,Coconut
200,Green,6.64,Apple
166,Orange,7.24,Orange
25,Pink,2.93,Lychee
395,Red,8.75,Mango
164,Orange,7.48,Orange
25,Red,2.95,Lychee
1641,Green,17.98,Coconut
205,Orange,6.87,Orange
2080,Green,23.27,Watermelon
1940,Brown,15.42,Coconut
345,Green,11.72,Mango
10,Purple,1.18,Grape
2644,Green,29.85,Watermelon
20,Pink,2.01,Lychee
291,Orange,6.62,Orange
311,Green,8.58,Mango
222,Orange,8.12,Orange
149,Yellow,4.56,Banana
10,Green,1.6,Grape
1504,Brown,14.7,Pineapple
357,Red,11.36,Mango
20,Red,2.25,Lychee
14,Green,1.36,Grape
81,Yellow,3.67,Banana
122,Red,8.5,Apple
2450,Green,22.76,Coconut
11,Green,1.76,Grape
120,Yellow,3.03,Banana
286,Green,8.5,Mango
4618,Green,21.66,Watermelon
181,Red,7.37,Apple
19,Red,2.75,Lychee
17,Pink,2.71,Lychee
17,Red,2.64,Lychee
143,Yellow,3.54,Banana
215,Yellow,9.64,Mango
1141,Green,16.18,Papaya
4363,Green,27.68,Watermelon
12,Purple,1.02,Grape
1914,Brown,13.05,Pineapple
3632,Green,21.32,Watermelon
10,Green,1.46,Grape
148,Red,8.79,Apple
1266,Orange,17.8,Papaya
1963,Green,23.78,Coconut
145,Red,7.39,Apple
644,Green,13.18,Papaya
1061,Brown,18.13,Coconut
91,Yellow,4.93,Banana
121,Green,8.43,Apple
1081,Orange,14.37,Papaya
19,Pink,2.45,Lychee
5,Green,1.25,Grape
168,Green,7.9,Apple
22,Red,2.05,Lychee
1107,Green,24.77,Coconut
2853,Green,25.06,Watermelon
4685,Green,20.22,Watermelon
161,Red,6.18,Apple
4576,Green,24.07,Watermelon
362,Yellow,9.49,Mango
168,Orange,6.25,Orange
341,Red,8.96,Mango
298,Orange,7.67,Orange
102,Yellow,3.7,Banana
281,Orange,7.76,Orange
120,Green,8.29,Apple
1700,Yellow,15.87,Pineapple
185,Green,7.53,Apple
19,Pink,2.3,Lychee
9,Purple,1.51,Grape
110,Yellow,4.45,Banana
13,Green,1.46,Grape
136,Green,6.71,Apple
21,Pink,2.55,Lychee
1969,Brown,16.61,Coconut
277,Red,9.24,Mango
972,Green,15.98,Papaya
236,Orange,9.13,Orange
3428,Green,21.71,Watermelon
1427,Brown,19.62,Pineapple
1121,Yellow,13.79,Pineapple
7,Purple,1.43,Grape
1936,Brown,19.45,Pineapple
1819,Brown,18.04,Coconut
2032,Green,28.53,Watermelon
101,Yellow,4.87,Banana
1054,Green,24.84,Coconut
1380,Yellow,13.62,Pineapple
2415,Green,15.71,Coconut
139,Yellow,4.73,Banana
15,Green,1.94,Grape
185,Red,8.03,Apple
993,Green,11.26,Papaya
302,Green,8.37,Mango
377,Yellow,9.14,Mango
308,Red,10.92,Mango
170,Green,6.75,Apple
1479,Yellow,14.4,Pineapple
1478,Yellow,11.92,Papaya
16,Pink,2.51,Lychee
15,Green,1.65,Grape
163,Red,6.29,Apple
279,Yellow,10.09,Mango
8,Purple,1.31,Grape
22,Pink,2.59,Lychee
3887,Green,28.35,Watermelon
6,Purple,1.95,Grape
1058,Green,15.76,Papaya
14,Purple,1.9,Grape
307,Green,11.63,Mango
2174,Green,24.99,Coconut
15,Green,1.58,Grape
1335,Brown,16.58,Pineapple
230,Green,9.87,Mango
234,Orange,8.58,Orange
1403,Brown,22.5,Coconut
167,Red,7.09,Apple
159,Red,8.56,Apple
346,Green,10.28,Mango
1331,Orange,11.63,Papaya
223,Orange,8.47,Orange
989,Yellow,15.29,Papaya
1983,Brown,22.26,Coconut
1886,Yellow,13.46,Pineapple
20,Pink,2.79,Lychee
579,Green,14.79,Papaya
19,Pink,2.73,Lychee
379,Green,9.95,Mango
19,Pink,2.77,Lychee
654,Orange,10.75,Papaya
16,Pink,2.12,Lychee
1379,Green,16.0,Papaya
1215,Orange,10.16,Papaya
173,Orange,6.98,Orange
1175,Yellow,18.73,Pineapple
17,Red,2.02,Lychee
1832,Brown,17.54,Pineapple
8,Purple,1.83,Grape
278,Orange,8.33,Orange
2089,Green,20.59,Coconut
15,Red,2.59,Lychee
1574,Green,19.66,Coconut
1330,Yellow,18.55,Papaya
1275,Yellow,15.2,Papaya
126,Yellow,3.99,Banana
277,Green,11.2,Mango
1176,Yellow,15.96,Papaya
2961,Green,29.29,Watermelon
4945,Green,26.49,Watermelon
193,Green,6.38,Apple
1901,Green,15.5,Coconut
1349,Green,22.07,Coconut
2748,Green,20.26,Watermelon
24,Pink,2.71,Lychee
14,Green,1.48,Grape
1713,Brown,13.56,Pineapple
14,Green,1.25,Grape
2097,Green,16.4,Coconut
199,Green,8.33,Apple
2989,Green,20.65,Watermelon
213,Red,8.16,Mango
294,Orange,6.04,Orange
1734,Brown,24.3,Coconut
3898,Green,23.5,Watermelon
1797,Brown,13.02,Pineapple
2694,Green,28.95,Watermelon
1135,Yellow,17.77,Pineapple
4229,Green,27.5,Watermelon
1608,Green,17.58,Coconut
1715,Yellow,18.85,Pineapple
146,Yellow,4.74,Banana
254,Orange,8.95,Orange
306,Yellow,9.57,Mango
1395,Yellow,16.06,Pineapple
1294,Green,24.14,Coconut
233,Orange,7.31,Orange
141,Yellow,4.33,Banana
22,Red,2.91,Lychee
114,Yellow,3.2,Banana
197,Orange,6.69,Orange
994,Green,10.74,Papaya
2017,Green,24.47,Coconut
1274,Orange,16.89,Papaya
4134,Green,21.79,Watermelon
2234,Brown,20.48,Coconut
1240,Brown,19.27,Coconut
19,Pink,2.31,Lychee
1255,Brown,18.13,Coconut
1132,Brown,16.02,Pineapple
158,Red,7.98,Apple
170,Orange,6.9,Orange
3178,Green,25.69,Watermelon
15,Purple,1.47,Grape
25,Red,2.2,Lychee
121,Red,6.97,Apple
200,Orange,9.6,Orange
128,Green,8.18,Apple
1861,Green,19.52,Coconut
145,Yellow,3.33,Banana
1670,Yellow,19.44,Pineapple
256,Orange,8.84,Orange
8,Green,1.32,Grape
793,Orange,17.56,Papaya
134,Red,7.96,Apple
151,Orange,6.58,Orange
15,Purple,1.56,Grape
16,Red,2.21,Lychee
1230,Brown,15.81,Pineapple
245,Red,10.19,Mango
336,Red,8.85,Mango
176,Green,6.45,Apple
4080,Green,24.17,Watermelon
98,Yellow,4.03,Banana
186,Green,6.1,Apple
180,Red,7.66,Apple
3235,Green,29.47,Watermelon
3388,Green,27.16,Watermelon
7,Purple,1.14,Grape
1742,Yellow,18.74,Pineapple
1870,Brown,19.67,Pineapple
305,Red,9.17,Mango
834,Green,12.98,Papaya
150,Orange,9.22,Orange
151,Orange,7.54,Orange
750,Yellow,11.34,Papaya
1184,Brown,17.99,Pineapple
1429,Yellow,17.47,Pineapple
2684,Green,23.18,Watermelon
190,Orange,7.53,Orange
124,Yellow,4.23,Banana
4438,Green,28.73,Watermelon
11,Green,1.87,Grape
1508,Brown,17.08,Pineapple
222,Green,8.98,Mango
1447,Brown,19.55,Coconut
173,Red,8.19,Apple
12,Purple,1.58,Grape
203,Green,9.02,Mango
1184,Green,18.9,Papaya
1756,Yellow,13.16,Pineapple
4131,Green,22.89,Watermelon
164,Orange,8.42,Orange
810,Green,17.2,Papaya
128,Yellow,4.06,Banana
127,Red,6.77,Apple
397,Yellow,8.51,Mango
248,Orange,9.14,Orange
397,Yellow,9.1,Mango
261,Yellow,9.62,Mango
13,Purple,1.88,Grape
299,Yellow,8.97,Mango
1525,Brown,19.05,Coconut
23,Pink,2.4,Lychee
3754,Green,20.16,Watermelon
219,Red,10.66,Mango
1182,Orange,19.45,Papaya
1254,Green,13.32,Papaya
82,Yellow,4.44,Banana
15,Pink,2.33,Lychee
607,Orange,15.37,Papaya
331,Green,10.76,Mango
2160,Green,21.9,Coconut
1358,Green,22.22,Coconut
253,Orange,6.16,Orange
125,Green,6.93,Apple
134,Green,8.8,Apple
1030,Yellow,11.22,Papaya
1461,Yellow,19.35,Pineapple
170,Green,7.48,Apple
1254,Orange,15.36,Papaya
4122,Green,25.8,Watermelon
21,Red,2.67,Lychee
9,Purple,1.55,Grape
1246,Yellow,16.54,Pineapple
1838,Green,19.7,Coconut
1940,Green,15.12,Coconut
13,Purple,1.82,Grape
1072,Yellow,12.9,Pineapple
194,Orange,9.53,Orange
154,Green,7.24,Apple
14,Green,1.71,Grape
4213,Green,23.99,Watermelon
248,Green,10.56,Mango
1898,Brown,24.47,Coconut
5,Green,1.79,Grape
1427,Brown,12.65,Pineapple
4242,Green,24.81,Watermelon
2525,Green,20.44,Watermelon
15,Red,2.31,Lychee
647,Green,14.2,Papaya
21,Pink,2.8,Lychee
206,Red,9.6,Mango
830,Orange,12.4,Papaya
2287,Green,17.87,Coconut
1001,Brown,18.6,Pineapple
272,Orange,7.58,Orange
1123,Yellow,19.76,Pineapple
10,Green,1.74,Grape
231,Yellow,9.12,Mango
1203,Yellow,10.67,Papaya
322,Red,9.07,Mango
13,Purple,1.88,Grape
139,Green,6.79,Apple
108,Yellow,4.14,Banana
162,Green,6.31,Apple
387,Green,9.18,Mango
24,Red,2.59,Lychee
286,Orange,8.53,Orange
287,Orange,7.28,Orange
160,Green,7.11,Apple
1883,Yellow,16.35,Pineapple
89,Yellow,3.42,Banana
386,Red,9.2,Mango
2692,Green,20.65,Watermelon
378,Yellow,8.08,Mango
2724,Green,23.93,Watermelon
23,Red,2.26,Lychee
14,Purple,1.24,Grape
10,Purple,1.62,Grape
15,Green,1.37,Grape
1744,Brown,21.52,Coconut
1663,Brown,21.01,Coconut
3500,Green,25.8,Watermelon
5,Green,1.55,Grape
1028,Yellow,16.41,Pineapple
1231,Yellow,15.16,Pineapple
615,Green,10.04,Papaya
398,Green,11.73,Mango
11,Green,1.09,Grape
574,Yellow,11.27,Papaya
320,Red,11.5,Mango
1039,Yellow,17.44,Pineapple
1394,Yellow,15.57,Pineapple
945,Green,14.73,Papaya
217,Red,8.4,Mango
399,Yellow,9.5,Mango
155,Red,8.84,Apple
749,Green,10.59,Papaya
2724,Green,26.64,Watermelon
1758,Brown,24.1,Coconut
1047,Brown,15.91,Pineapple
1917,Green,23.62,Coconut
114,Yellow,3.46,Banana
125,Green,7.09,Apple
1396,Green,12.05,Papaya
16,Pink,2.13,Lychee
2175,Green,23.82,Coconut
149,Red,6.76,Apple
608,Yellow,14.36,Papaya
21,Pink,2.9,Lychee
2347,Brown,23.63,Coconut
158,Orange,7.85,Orange
1405,Brown,15.43,Pineapple
2417,Green,19.4,Coconut
1997,Brown,14.95,Pineapple
367,Yellow,8.26,Mango
19,Pink,2.69,Lychee
2686,Green,20.88,Watermelon
1453,Brown,24.13,Coconut
18,Pink,2.33,Lychee
166,Green,7.25,Apple
2219,Green,26.86,Watermelon
18,Red,2.39,Lychee
19,Pink,2.53,Lychee
129,Yellow,4.73,Banana
221,Green,11.35,Mango
18,Pink,2.35,Lychee
10,Purple,1.25,Grape
254,Yellow,9.42,Mango
902,Yellow,14.58,Papaya
82,Yellow,4.78,Banana
2044,Brown,22.77,Coconut
15,Green,1.03,Grape
243,Orange,8.31,Orange
333,Yellow,10.74,Mango
13,Purple,1.76,Grape
2774,Green,26.07,Watermelon
150,Red,8.91,Apple
137,Yellow,4.5,Banana
348,Green,8.67,Mango
1460,Brown,20.1,Coconut
1978,Brown,15.32,Coconut
1123,Green,13.12,Papaya
1253,Brown,24.27,Coconut
1430,Brown,19.56,Coconut
4948,Green,28.12,Watermelon
2684,Green,23.16,Watermelon
318,Red,10.13,Mango
173,Red,7.28,Apple
1233,Brown,16.43,Pineapple
2154,Green,24.33,Coconut
176,Orange,7.19,Orange
352,Red,10.2,Mango
7,Green,1.68,Grape
240,Red,11.76,Mango
24,Red,2.19,Lychee
1916,Brown,15.67,Pineapple
25,Red,2.65,Lychee
342,Yellow,11.53,Mango
2554,Green,25.86,Watermelon
20,Pink,2.72,Lychee
166,Orange,8.85,Orange
1801,Green,19.44,Coconut
2247,Brown,15.28,Coconut
4093,Green,20.72,Watermelon
180,Orange,7.22,Orange
107,Yellow,3.61,Banana
1974,Green,21.91,Coconut
1310,Green,21.64,Coconut
128,Yellow,3.15,Banana
362,Yellow,9.68,Mango
24,Red,2.5,Lychee
266,Orange,9.33,Orange
2361,Green,25.33,Watermelon
147,Yellow,3.6,Banana
156,Red,8.62,Apple
889,Orange,10.8,Papaya
6,Purple,1.09,Grape
213,Orange,6.89,Orange
215,Orange,6.19,Orange
92,Yellow,4.99,Banana
104,Yellow,3.64,Banana
1368,Yellow,12.67,Papaya
141,Green,7.76,Apple
1406,Green,23.22,Coconut
9,Green,1.67,Grape
295,Orange,8.26,Orange
8,Purple,1.92,Grape
15,Red,2.47,Lychee
231,Red,11.7,Mango
3298,Green,26.87,Watermelon
24,Pink,2.18,Lychee
7,Purple,1.8,Grape
174,Green,8.62,Apple
1151,Brown,17.03,Coconut
295,Red,9.38,Mango
252,Orange,7.04,Orange
213,Red,9.83,Mango
120,Yellow,3.82,Banana
153,Red,8.71,Apple
24,Pink,2.65,Lychee
219,Orange,8.33,Orange
165,Orange,7.79,Orange
714,Orange,16.84,Papaya
194,Red,6.41,Apple
11,Purple,1.99,Grape
128,Yellow,4.8,Banana
1493,Brown,18.97,Pineapple
7,Purple,1.87,Grape
149,Yellow,4.02,Banana
1500,Orange,13.29,Papaya
174,Red,6.93,Apple
4767,Green,29.8,Watermelon
13,Purple,1.81,Grape
14,Green,1.42,Grape
12,Purple,1.49,Grape
1905,Brown,22.2,Coconut
338,Red,8.18,Mango
18,Pink,2.11,Lychee
1452,Yellow,12.69,Pineapple
139,Yellow,3.89,Banana
1408,Brown,12.39,Pineapple
152,Orange,7.79,Orange
19,Pink,2.23,Lychee
1240,Yellow,17.95,Pineapple
2027,Brown,19.81,Coconut
1618,Yellow,18.25,Pineapple
152,Red,6.21,Apple
1264,Brown,24.65,Coconut
1325,Green,15.58,Papaya
4233,Green,29.45,Watermelon
1146,Brown,16.37,Coconut
23,Pink,2.78,Lychee
1870,Brown,16.51,Pineapple
4597,Green,21.49,Watermelon
133,Red,7.84,Apple
1234,Green,19.4,Papaya
182,Green,7.81,Apple
922,Yellow,13.6,Papaya
208,Green,9.33,Mango
153,Orange,9.44,Orange
100,Yellow,4.36,Banana
1954,Brown,18.82,Pineapple
4196,Green,21.19,Watermelon
1650,Brown,24.95,Coconut
164,Orange,7.22,Orange
16,Pink,2.72,Lychee
350,Yellow,8.58,Mango
1323,Yellow,18.43,Papaya
112,Yellow,4.7,Banana
180,Green,6.94,Apple
19,Pink,2.42,Lychee
1357,Brown,13.04,Pineapple
2150,Green,22.22,Coconut
4018,Green,22.44,Watermelon
294,Yellow,8.61,Mango
4499,Green,29.93,Watermelon
12,Purple,1.99,Grape
199,Red,6.85,Apple
120,Yellow,4.71,Banana
1035,Yellow,11.39,Papaya
1478,Brown,17.43,Pineapple
7,Green,1.82,Grape
91,Yellow,4.07,Banana
3131,Green,20.51,Watermelon
1368,Green,20.2,Coconut
3871,Green,23.59,Watermelon
7,Purple,1.72,Grape
229,Red,8.17,Mango
742,Yellow,13.34,Papaya
2969,Green,21.54,Watermelon
235,Orange,6.77,Orange
2592,Green,24.19,Watermelon
1091,Brown,13.99,Pineapple
1676,Yellow,15.48,Pineapple
1390,Green,24.02,Coconut
25,Red,2.62,Lychee
1352,Green,17.98,Papaya
296,Orange,8.14,Orange
4796,Green,23.39,Watermelon
1347,Green,19.45,Papaya
14,Green,1.59,Grape
2147,Brown,18.67,Coconut
14,Green,1.28,Grape
2276,Green,29.91,Watermelon
20,Pink,2.29,Lychee
1249,Green,24.46,Coconut
1013,Yellow,12.49,Pineapple
14,Green,1.24,Grape
1280,Yellow,15.08,Pineapple
248,Orange,6.12,Orange
6,Green,1.2,Grape
1339,Brown,22.24,Coconut
1937,Yellow,18.05,Pineapple
1450,Green,12.69,Papaya
133,Red,9.0,Apple
1295,Yellow,17.77,Pineapple
147,Yellow,3.71,Banana
190,Red,8.61,Apple
151,Green,8.64,Apple
175,Green,7.43,Apple
146,Yellow,3.48,Banana
2381,Green,27.73,Watermelon
295,Orange,7.01,Orange
210,Red,8.83,Mango
17,Red,2.67,Lychee
1835,Yellow,18.93,Pineapple
8,Purple,1.33,Grape
22,Pink,2.11,Lychee
2252,Green,16.57,Coconut
18,Pink,2.38,Lychee
1831,Brown,24.92,Coconut
4251,Green,21.0,Watermelon
198,Red,6.52,Apple
1830,Brown,22.87,Coconut
15,Purple,1.54,Grape
328,Red,10.16,Mango
1748,Brown,15.15,Coconut
15,Red,2.56,Lychee
1076,Orange,18.33,Papaya
13,Green,1.61,Grape
3197,Green,24.51,Watermelon
114,Yellow,3.07,Banana
1029,Green,15.71,Coconut
19,Red,2.39,Lychee
271,Orange,6.3,Orange
142,Yellow,3.05,Banana
24,Pink,2.8,Lychee
1053,Green,23.38,Coconut
1098,Green,21.09,Coconut
1180,Yellow,18.47,Pineapple
1066,Brown,16.11,Pineapple
20,Red,2.81,Lychee
25,Pink,2.05,Lychee
13,Green,1.81,Grape
830,Yellow,10.76,Papaya
1108,Brown,23.01,Coconut
1430,Orange,13.09,Papaya
3425,Green,20.86,Watermelon
170,Green,6.08,Apple
3866,Green,26.47,Watermelon
14,Purple,1.79,Grape
24,Red,2.65,Lychee
1796,Yellow,14.51,Pineapple
2292,Green,20.91,Coconut
2416,Green,16.08,Coconut
1098,Yellow,15.6,Papaya
200,Green,6.98,Apple
13,Purple,1.73,Grape
169,Green,6.0,Apple
269,Yellow,8.73,Mango
14,Purple,1.78,Grape
25,Pink,2.75,Lychee
1844,Yellow,14.98,Pineapple
1191,Green,19.74,Coconut
1993,Brown,15.93,Pineapple
10,Purple,1.7,Grape
1050,Brown,15.67,Pineapple
202,Orange,9.34,Orange
161,Red,6.89,Apple
134,Yellow,4.93,Banana
1136,Green,20.09,Coconut
1958,Green,16.16,Coconut
276,Orange,6.45,Orange
8,Green,1.7,Grape
381,Red,10.26,Mango
4554,Green,20.17,Watermelon
82,Yellow,3.69,Banana
192,Red,6.34,Apple
115,Yellow,4.48,Banana
1351,Green,12.76,Papaya
11,Green,1.88,Grape
272,Green,9.0,Mango
1998,Green,21.26,Coconut
192,Red,8.67,Apple
606,Yellow,18.61,Papaya
9,Purple,1.7,Grape
3068,Green,21.7,Watermelon
117,Yellow,4.02,Banana
135,Yellow,4.98,Banana
200,Green,6.08,Apple
25,Red,2.39,Lychee
170,Orange,9.58,Orange
8,Purple,1.31,Grape
851,Yellow,15.74,Papaya
3131,Green,25.48,Watermelon
1013,Green,24.99,Coconut
11,Green,1.61,Grape
3231,Green,27.08,Watermelon
17,Red,2.07,Lychee
1298,Yellow,14.27,Pineapple
25,Pink,2.33,Lychee
209,Orange,8.92,Orange
1977,Yellow,14.68,Pineapple
9,Purple,1.72,Grape
2062,Brown,16.62,Coconut
134,Green,7.46,Apple
159,Red,8.2,Apple
358,Green,11.84,Mango
251,Orange,8.26,Orange
1275,Brown,17.71,Pineapple
18,Pink,2.29,Lychee
1510,Brown,22.29,Coconut
193,Green,8.49,Apple
870,Yellow,12.02,Papaya
10,Purple,1.78,Grape
222,Yellow,8.15,Mango
21,Pink,2.67,Lychee
507,Orange,17.95,Papaya
1764,Brown,18.1,Pineapple
572,Yellow,16.89,Papaya
1276,Brown,12.43,Pineapple
301,Yellow,11.77,Mango
296,Red,8.49,Mango
13,Green,1.49,Grape
241,Orange,7.08,Orange
130,Yellow,3.96,Banana
11,Green,1.79,Grape
146,Green,8.55,Apple
12,Green,1.13,Grape
83,Yellow,4.25,Banana
117,Yellow,3.41,Banana
127,Green,6.91,Apple
